1,[678.89453125, 679.30078125, 681.171875, 681.24609375, 682.5625, 685.63671875, 687.59765625, 689.796875, 691.46875, 693.0234375, 694.44921875, 695.33984375, 696.58984375, 698.0234375, 699.51171875, 700.7578125, 701.90625, 702.9609375, 704.12890625, 705.2734375, 706.22265625, 707.17578125, 707.828125, 706.02734375]

6,[678.8984375, 679.3046875, 681.16796875, 681.23828125, 682.55078125, 682.58203125, 680.08984375]

11,[678.890625, 679.296875, 681.16796875, 681.2421875, 682.55859375, 682.57421875, 680.078125]

16,[678.8984375, 679.3046875, 681.17578125, 681.24609375, 682.5546875, 682.58203125, 680.08984375]

21,[678.89453125, 679.69140625, 681.171875, 681.24609375, 682.5546875, 682.578125, 680.08203125]

26,[678.89453125, 679.30078125, 681.17578125, 682.5, 682.56640625, 682.58203125, 680.08984375]

31,[678.89453125, 679.41796875, 681.171875, 681.24609375, 682.5625, 682.578125, 680.0859375]

36,[678.89453125, 679.30078125, 681.16796875, 681.234375, 682.546875, 682.578125, 680.0859375]

41,[678.890625, 679.296875, 681.16796875, 681.23828125, 682.55078125, 682.57421875, 680.08203125]

46,[678.89453125, 679.30078125, 681.16796875, 681.23828125, 682.55078125, 682.578125, 680.0859375]

