1,[678.8984375, 679.8671875, 681.1875, 682.51953125, 683.7265625, 686.515625, 688.98828125, 691.17578125, 692.859375, 694.52734375, 695.4296875, 696.92578125, 698.59765625, 700.06640625, 701.25390625, 702.7265625, 703.94921875, 705.16015625, 706.3359375, 707.2421875, 708.1875, 706.03125]

6,[678.89453125, 679.42578125, 681.1796875, 682.50390625, 682.578125, 680.08203125]

11,[678.89453125, 679.30078125, 681.1796875, 682.5078125, 682.578125, 680.0859375]

16,[678.890625, 679.296875, 681.17578125, 682.50390625, 682.57421875, 680.078125]

21,[678.89453125, 679.86328125, 681.18359375, 682.51953125, 682.578125, 680.0859375]

26,[678.890625, 679.859375, 681.18359375, 682.515625, 682.57421875, 680.078125]

31,[678.89453125, 679.7109375, 681.18359375, 682.5078125, 682.578125, 680.0859375]

36,[678.8984375, 679.6796875, 681.18359375, 682.515625, 682.58203125, 680.0859375]

41,[678.890625, 679.859375, 681.18359375, 682.51953125, 682.57421875, 680.078125]

46,[678.890625, 679.859375, 681.1796875, 682.51953125, 682.57421875, 680.078125]

