1,[678.89453125, 679.30078125, 681.1640625, 681.23046875, 682.54296875, 684.81640625, 686.7734375, 688.94921875, 690.9921875, 692.37109375, 693.703125, 695.16015625, 696.015625, 697.5234375, 699.10546875, 700.390625, 701.21875, 702.5078125, 703.609375, 704.73828125, 705.74609375, 706.69921875, 707.51953125, 706.0390625]

6,[678.89453125, 679.43359375, 681.171875, 681.24609375, 682.5625, 682.58203125, 680.08984375]

11,[678.89453125, 679.3046875, 681.17578125, 681.24609375, 682.55859375, 682.58203125, 680.0859375]

16,[678.89453125, 679.30078125, 681.16796875, 681.23828125, 682.5546875, 682.578125, 680.0859375]

21,[678.890625, 679.296875, 681.16796875, 681.23828125, 682.55078125, 682.57421875, 680.08203125]

26,[678.890625, 679.44921875, 681.16796875, 681.2421875, 682.5546875, 682.57421875, 680.08203125]

31,[678.890625, 679.296875, 681.16796875, 681.2421875, 682.5546875, 682.57421875, 680.08203125]

36,[678.89453125, 679.42578125, 681.16796875, 681.23828125, 682.55078125, 682.578125, 680.0859375]

41,[678.890625, 679.296875, 681.1640625, 681.234375, 682.546875, 682.57421875, 680.078125]

46,[678.890625, 679.296875, 681.16796875, 681.2421875, 682.55859375, 682.57421875, 680.078125]

