1,[103.109375, 103.70703125, 138.0859375, 168.9609375, 195.484375, 213.19140625, 230.59765625, 245.421875, 261.6875, 277.40625, 289.51953125, 303.6953125, 319.109375, 334.0546875, 345.38671875, 359.5625, 374.51953125, 388.43359375, 398.0546875, 409.859375, 421.71484375, 431.515625, 433.078125, 434.3828125, 428.05859375]

6,[103.10546875, 103.703125, 138.8515625, 170.86328125, 196.875, 213.39453125, 232.34765625, 247.171875, 262.8125, 278.34765625, 290.5703125, 305.00390625, 320.28515625, 333.93359375, 344.48828125, 358.1484375, 371.71875, 383.8359375, 396.4921875, 403.2421875, 416.38671875, 429.01171875, 435.80078125, 426.4765625]

11,[103.10546875, 103.703125, 139.37109375, 171.02734375, 196.03125, 213.1875, 231.34375, 246.16796875, 262.16015625, 277.9140625, 290.484375, 304.91796875, 320.83984375, 335.26953125, 345.57421875, 359.234375, 373.26953125, 386.66796875, 398.046875, 409.703125, 422.84765625, 435.5625, 426.46875]

16,[103.109375, 103.70703125, 138.0859375, 169.69140625, 195.70703125, 213.1875, 231.75390625, 246.203125, 262.44921875, 277.60546875, 289.8671875, 304.55859375, 319.89453125, 334.5703125, 345.5234375, 358.66796875, 373.48828125, 386.62890625, 398.05078125, 409.765625, 422.91015625, 437.11328125, 426.47265625]

21,[103.08984375, 103.703125, 138.1640625, 169.00390625, 195.78515625, 213.19140625, 231.95703125, 247.296875, 263.3515625, 278.625, 290.54296875, 304.203125, 319.4296875, 334.8828125, 346.09375, 360.01171875, 374.82421875, 388.22265625, 398.0546875, 410.83984375, 423.46875, 434.04296875, 426.47265625]

26,[103.08984375, 103.703125, 139.70703125, 170.96875, 196.73828125, 213.4140625, 232.3671875, 247.703125, 264.00390625, 279.7734375, 291.66796875, 306.1015625, 321.70703125, 335.67578125, 347.328125, 361.17578125, 375.80859375, 388.94921875, 398.0546875, 410.7109375, 423.59765625, 433.171875, 426.47265625]

31,[103.0859375, 103.69921875, 139.18359375, 171.03515625, 196.5390625, 213.18359375, 231.984375, 246.5546875, 262.3515625, 277.50390625, 289.046875, 303.05078125, 317.0, 330.90234375, 341.72265625, 355.125, 368.62890625, 382.03125, 395.38671875, 402.9296875, 416.33203125, 428.44140625, 426.46484375]

36,[103.0859375, 103.703125, 137.7578125, 168.71875, 195.234375, 213.1875, 231.30078125, 246.38671875, 262.76171875, 277.50390625, 289.6015625, 303.51953125, 318.39453125, 333.58984375, 344.921875, 359.09765625, 374.25390625, 387.39453125, 398.05078125, 410.01953125, 422.1328125, 439.94921875, 426.46875]

41,[103.08984375, 103.70703125, 139.53125, 170.93359375, 196.703125, 213.19140625, 232.14453125, 247.484375, 263.4609375, 279.15625, 291.265625, 305.44140625, 320.9140625, 335.59765625, 346.66796875, 360.83984375, 375.54296875, 388.68359375, 398.0546875, 410.53515625, 422.390625, 439.95703125, 426.47265625]

46,[103.109375, 103.70703125, 138.6015625, 169.953125, 196.234375, 213.1875, 231.39453125, 246.23046875, 261.7265625, 276.61328125, 289.203125, 303.12109375, 318.20703125, 333.14453125, 343.70703125, 357.3671875, 369.66015625, 382.80859375, 395.75, 402.57421875, 415.4609375, 428.0859375, 426.47265625]

