1,[102.95703125, 104.09765625, 140.07421875, 165.73828125, 190.78515625, 212.26171875, 233.359375, 256.02734375, 277.6171875, 296.8046875, 315.69921875, 335.1640625, 353.53125, 371.61328125, 376.2109375]

6,[102.95703125, 104.09765625, 139.8515625, 166.296875, 192.2109375, 214.703125, 238.05859375, 261.51953125, 280.9453125, 300.06640625, 318.57421875, 337.546875, 355.55859375]

11,[102.95703125, 104.09765625, 140.4453125, 166.76953125, 192.81640625, 214.4453125, 237.08203125, 259.16015625, 277.41796875, 297.375, 315.73828125, 334.87109375, 348.8828125]

16,[102.953125, 104.09375, 140.234375, 165.91015625, 191.1484375, 213.19140625, 236.83203125, 258.96875, 277.55859375, 297.390625, 315.375, 334.11328125, 346.3515625]

21,[102.94921875, 104.1015625, 139.84765625, 165.91796875, 191.2734375, 214.0546875, 236.5, 259.078125, 277.79296875, 297.51953125, 316.328125, 335.12890625, 346.3203125]

26,[102.95703125, 104.09765625, 139.8046875, 165.66015625, 191.0, 213.16796875, 236.36328125, 259.0625, 278.2109375, 298.640625, 317.71875, 337.19921875, 346.38671875]

31,[102.95703125, 104.09765625, 140.23828125, 166.07421875, 191.88671875, 214.05078125, 237.375, 259.52734375, 277.83203125, 297.7109375, 316.67578125, 336.5234375, 346.375]

36,[102.95703125, 104.09765625, 140.4453125, 166.67578125, 191.6484375, 213.9296875, 236.49609375, 258.7890625, 277.6953125, 297.71875, 316.67578125, 335.578125, 344.0625]

41,[102.953125, 104.09375, 139.390625, 165.33203125, 190.7421875, 213.1796875, 236.1640625, 258.89453125, 277.5859375, 297.48046875, 316.3046875, 335.57421875, 344.05859375]

46,[102.953125, 104.09375, 139.390625, 165.1328125, 189.578125, 211.4375, 234.9140625, 257.01171875, 275.4375, 295.62890625, 314.64453125, 334.17578125, 344.05859375]

