1,[102.95703125, 104.09765625, 139.26171875, 165.08203125, 189.75, 212.4140625, 233.88671875, 256.6171875, 278.06640625, 297.68359375, 318.4453125, 337.1484375, 355.6484375, 373.12109375, 376.2109375]

6,[102.95703125, 104.09765625, 140.0234375, 166.56640625, 192.38671875, 214.703125, 237.70703125, 261.10546875, 280.26171875, 300.21875, 319.50390625, 338.5078125, 355.56640625]

11,[102.95703125, 104.09765625, 140.6484375, 166.67578125, 193.3359375, 216.578125, 239.1015625, 262.23046875, 280.9375, 300.78125, 319.2734375, 339.0, 348.88671875]

16,[102.953125, 104.10546875, 140.2421875, 166.21875, 192.609375, 215.515625, 239.19921875, 261.703125, 280.34375, 299.94140625, 318.859375, 338.54296875, 346.31640625]

21,[102.95703125, 104.09765625, 140.6484375, 166.37890625, 192.0546875, 214.3984375, 236.96484375, 259.05859375, 277.45703125, 296.05078125, 315.29296875, 334.40625, 346.36328125]

26,[102.953125, 104.09375, 140.44140625, 166.52734375, 192.05078125, 214.5234375, 237.6875, 260.234375, 278.75, 298.20703125, 317.28515625, 336.515625, 346.37890625]

31,[102.94921875, 104.1015625, 138.75, 164.1640625, 188.8828125, 211.04296875, 233.44140625, 255.51953125, 274.1484375, 293.58203125, 312.90234375, 331.25390625, 346.32421875]

36,[102.953125, 104.10546875, 139.8515625, 165.34375, 190.30078125, 212.73828125, 235.65234375, 257.4921875, 275.59375, 295.625, 314.8984375, 334.71875, 344.01953125]

41,[102.953125, 104.09375, 140.64453125, 167.234375, 193.63671875, 216.1796875, 239.4453125, 261.93359375, 281.140625, 300.78125, 319.48046875, 338.74609375, 344.0546875]

46,[102.953125, 104.09375, 139.390625, 165.65234375, 191.64453125, 214.08984375, 237.8359375, 260.515625, 279.7109375, 299.90625, 319.140625, 338.62109375, 344.0546875]

