1,[678.89453125, 679.30078125, 681.16796875, 681.23828125, 682.5546875, 685.3984375, 687.25390625, 689.4609375, 691.26953125, 692.76171875, 694.08203125, 695.16015625, 696.40234375, 697.90625, 699.34375, 700.59375, 701.7734375, 702.83203125, 703.984375, 704.97265625, 705.98046875, 706.9296875, 707.6953125, 706.0390625]

6,[678.89453125, 679.30078125, 681.16796875, 681.23828125, 682.5546875, 682.58203125, 680.0859375]

11,[678.890625, 679.296875, 681.1640625, 681.23828125, 682.55078125, 682.57421875, 680.08203125]

16,[678.89453125, 679.30078125, 681.171875, 681.2421875, 682.55859375, 682.58203125, 680.08984375]

21,[678.890625, 679.296875, 681.16796875, 681.2421875, 682.55859375, 682.57421875, 680.08203125]

26,[678.890625, 679.296875, 681.1640625, 681.23828125, 682.5546875, 682.57421875, 680.08203125]

31,[678.89453125, 679.30078125, 681.171875, 681.2421875, 682.5546875, 682.578125, 680.0859375]

36,[678.890625, 679.6875, 681.171875, 682.4921875, 682.55859375, 682.57421875, 680.078125]

41,[678.890625, 679.296875, 681.16796875, 681.2421875, 682.5546875, 682.57421875, 680.08203125]

46,[678.890625, 679.296875, 681.1640625, 681.23828125, 682.546875, 682.57421875, 680.08203125]

